date,DesRoll,Roll
2025811169, 1.75, 5.3, 0, 0.21, 0, 330.83, 0.09, 0
2025911207, 2.36, 5.29, 0, 0.24, 0, 330.83, 0.09, 0
2026010940, 2.38, 5.29, 0, 0.32, 0, 330.83, 0.09, 0
2026111085, 2.23, 5.29, 0, 0.46, 0, 330.83, 0.09, 0
2026210565, 2.45, 5.29, 0, 0.58, 0, 330.83, 0.08, 0
2026311169, -0.3, 5.29, 0, 0.64, 0, 330.82, 0.08, 0
2026410868, -3.37, 5.29, 0, 0.69, 0, 330.83, 0.12, 0
2026511313, -2.44, 5.3, 0, 0.4, 0, 330.83, 0.12, 0
2026611012, 1.14, 5.3, 0, 0.11, 0, 330.83, 0.12, 0
2026711515, 0.45, 5.3, 0, 0.11, 0, 330.82, 0.11, 0
2026810873, -3.44, 5.3, 0, 0.19, 0, 330.82, 0.11, 0
2026911261, -1.07, 5.3, 0, 0.21, 0, 330.82, 0.09, 0
2027011437, 1.63, 5.31, 0, 0.17, 0, 330.82, 0.09, 0
2027111229, 2.05, 5.31, 0, 0.22, 0, 330.82, 0.09, 0
2027210514, 1.62, 5.31, 0, 0.32, 0, 330.82, 0.09, 0
2027311153, 0, 5.31, 0, 0.37, 0, 330.82, 0.07, 0
2027410553, 0, 5.31, 0, 0.38, 0, 330.82, 0.07, 0
2027510992, 0, 5.31, 0, 0.28, 0, 330.83, 0.09, 0
2027610903, 0, 5.31, 0, 0.09, 0, 330.82, 0.09, 0
2027710867, 0, 5.32, 0, 0.08, 0, 330.82, 0.11, 0
2027811334, 0, 5.33, 0, 0.31, 0, 330.82, 0.11, 0
2027910981, 0, 5.33, 0, 0.47, 0, 330.82, 0.12, 0
2028011135, 0, 5.33, 0, 0.3, 0, 330.82, 0.12, 0
2028110877, 0, 5.33, 0, 0.15, 0, 330.82, 0.11, 0
2028211222, 0, 5.33, 0, 0.25, 0, 330.82, 0.11, 0
2028310932, 0, 5.34, 0, 0.35, 0, 330.82, 0.09, 0
2028410695, 0, 5.34, 0, 0.35, 0, 330.82, 0.09, 0
2028510684, 0, 5.34, 0, 0.33, 0, 330.84, 0.09, 0
