Att,date,Value
DesRoll,0.3100073333,0.00
DesRoll,0.3116725000,0.00
DesRoll,0.3133396333,0.00
DesRoll,0.3150013667,0.00
DesRoll,0.3166701833,0.00
DesRoll,0.3183413333,0.00
DesRoll,0.3200005500,0.00
DesRoll,0.3216725000,0.00
DesRoll,0.3233430000,0.00
DesRoll,0.3250047833,0.00
DesRoll,0.3266717333,0.00
DesRoll,0.3283364000,0.00
DesRoll,0.3300000667,0.00
DesRoll,0.3316715833,0.00
DesRoll,0.3333330000,0.00
DesRoll,0.3350002167,0.00
DesRoll,0.3366731500,0.00
DesRoll,0.3383482833,0.00
DesRoll,0.3400055833,0.00
DesRoll,0.3416697833,0.00
DesRoll,0.3433331833,0.00
DesRoll,0.3450049833,0.00
DesRoll,0.3466705500,0.00
DesRoll,0.3483383667,0.00
DesRoll,0.3500023333,0.00
DesRoll,0.3516729000,0.00
DesRoll,0.3533364167,0.00
DesRoll,0.3550075833,0.00
DesRoll,0.3566696667,0.00
DesRoll,0.3583500667,0.00
DesRoll,0.3600033667,0.00
DesRoll,0.3616728167,0.00
DesRoll,0.3633360833,0.00
DesRoll,0.3650063500,0.00
DesRoll,0.3666707500,0.00
DesRoll,0.3683455833,0.00
DesRoll,0.3700027500,0.00
DesRoll,0.3716758167,0.00
DesRoll,0.3733369333,0.00
DesRoll,0.3750031500,0.00
DesRoll,0.3766710000,0.00
DesRoll,0.3783442000,0.00
DesRoll,0.3800046500,0.00
DesRoll,0.3816885500,0.00
DesRoll,0.3833385167,0.00
DesRoll,0.3850057667,0.00
DesRoll,0.3866693667,0.00
DesRoll,0.3883441333,0.00
DesRoll,0.3900033333,0.00
DesRoll,0.3916767833,0.00
DesRoll,0.3933386500,0.00
DesRoll,0.3950053000,0.00
DesRoll,0.3966763833,0.00
DesRoll,0.3983521333,0.00
DesRoll,0.4000079167,0.00
DesRoll,0.4016650500,0.00
DesRoll,0.4033362500,0.00
DesRoll,0.4050065667,0.00
DesRoll,0.4066701333,0.00
DesRoll,0.4083417667,0.00
DesRoll,0.4100048000,0.00
DesRoll,0.4116719833,0.00
DesRoll,0.4133364500,0.00
DesRoll,0.4150032167,0.00
DesRoll,0.4166773500,0.00
DesRoll,0.4183489500,0.00
DesRoll,0.4200061833,0.00
DesRoll,0.4216710500,0.00
DesRoll,0.4233399833,0.00
DesRoll,0.4250074667,0.00
DesRoll,0.4266706667,0.00
DesRoll,0.4283357667,0.00
DesRoll,0.4300035333,0.00
DesRoll,0.4316715167,0.00
DesRoll,0.4333389833,0.00
DesRoll,0.4350018500,0.00
DesRoll,0.4366772667,0.00
DesRoll,0.4383538667,0.00
DesRoll,0.4400095667,0.00
DesRoll,0.4416708667,0.00
DesRoll,0.4433407833,0.00
DesRoll,0.4450029333,0.00
DesRoll,0.4466707667,0.00
DesRoll,0.4483398833,0.00
DesRoll,0.4500111333,0.00
DesRoll,0.4516731000,0.00
DesRoll,0.4533442833,0.00
DesRoll,0.4550010000,0.00
DesRoll,0.4566824000,0.00
DesRoll,0.4583416333,0.00
DesRoll,0.4600097500,0.00
DesRoll,0.4616740000,0.00
DesRoll,0.4633392500,0.00
DesRoll,0.4650055333,0.00
DesRoll,0.4666759167,0.00
DesRoll,0.4683389500,0.00
DesRoll,0.4700050167,0.00
DesRoll,0.4716789667,0.00
DesRoll,0.4733413667,0.00
DesRoll,0.4750001333,0.00
DesRoll,0.4766737667,0.00
DesRoll,0.4783496000,0.00
DesRoll,0.4800028167,0.00
DesRoll,0.4816645667,0.00
DesRoll,0.4833346833,0.00
DesRoll,0.4850037167,0.00
DesRoll,0.4866701333,0.00
DesRoll,0.4883419167,0.00
DesRoll,0.4900059667,0.00
DesRoll,0.4916748333,0.00
DesRoll,0.4933389833,0.00
DesRoll,0.4949983167,0.00
DesRoll,0.4966737833,0.00
DesRoll,0.4983449333,0.00
DesRoll,0.5000035167,0.00
DesRoll,0.5016664333,0.00
DesRoll,0.5033330167,0.00
DesRoll,0.5050071000,0.00
DesRoll,0.5066702500,0.00
DesRoll,0.5083439833,0.00
DesRoll,0.5100033833,0.00
DesRoll,0.5116711167,0.00
DesRoll,0.5133333667,0.00
DesRoll,0.5150079167,0.00
DesRoll,0.5166717333,0.00
DesRoll,0.5183511333,0.00
DesRoll,0.5200041667,0.00
DesRoll,0.5216759333,0.00
DesRoll,0.5233431167,0.00
DesRoll,0.5250075167,0.00
DesRoll,0.5266642500,0.00
DesRoll,0.5283403500,0.00
DesRoll,0.5300075667,0.00
DesRoll,0.5316807167,0.00
DesRoll,0.5333310667,0.00
DesRoll,0.5350070500,0.00
DesRoll,0.5366686833,0.00
DesRoll,0.5383504167,0.00
DesRoll,0.5400047000,0.00
DesRoll,0.5416715667,0.00
DesRoll,0.5433405833,0.00
DesRoll,0.5451605500,0.00
DesRoll,0.5466718000,0.00
DesRoll,0.5483375667,0.00
DesRoll,0.5500074000,0.00
DesRoll,0.5516693333,0.00
DesRoll,0.5533353667,0.00
DesRoll,0.5549985167,0.00
DesRoll,0.5566716500,0.00
DesRoll,0.5583630667,0.00
DesRoll,0.5600080167,0.00
DesRoll,0.5616697167,0.00
DesRoll,0.5633354667,0.00
DesRoll,0.5650063167,0.00
DesRoll,0.5666734667,0.00
DesRoll,0.5683371667,0.00
DesRoll,0.5700079833,0.00
DesRoll,0.5716769000,0.00
DesRoll,0.5733400333,0.00
DesRoll,0.5749975667,0.00
DesRoll,0.5766698333,0.00
DesRoll,0.5783381667,0.00
DesRoll,0.5800045500,0.00
DesRoll,0.5816646667,0.00
DesRoll,0.5833427167,0.00
DesRoll,0.5850030167,0.00
DesRoll,0.5866732167,0.00
DesRoll,0.5883378833,0.00
DesRoll,0.5900084000,0.00
DesRoll,0.5916746833,0.00
DesRoll,0.5933484667,0.00
DesRoll,0.5950060500,0.00
DesRoll,0.5966768000,0.00
DesRoll,0.5983415333,0.00
DesRoll,0.6000104000,0.00
DesRoll,0.6016640833,0.00
DesRoll,0.6033301333,0.00
DesRoll,0.6050057833,0.00
DesRoll,0.6066707833,0.00
DesRoll,0.6083405333,0.00
DesRoll,0.6100028333,0.00
DesRoll,0.6116734833,0.00
DesRoll,0.6133360500,0.00
DesRoll,0.6150030667,0.00
DesRoll,0.6166726333,0.00
DesRoll,0.6183451333,0.00
DesRoll,0.6200042667,0.00
DesRoll,0.6216696000,0.00
DesRoll,0.6233406667,0.00
DesRoll,0.6250018167,0.00
DesRoll,0.6266739667,0.00
DesRoll,0.6283402667,0.00
DesRoll,0.6300050500,0.00
DesRoll,0.6316747500,0.00
DesRoll,0.6333319167,0.00
DesRoll,0.6350063333,0.00
DesRoll,0.6366712667,0.00
DesRoll,0.6383489833,0.00
DesRoll,0.6400043000,0.00
DesRoll,0.6416724833,0.00
DesRoll,0.6433401500,0.00
DesRoll,0.6450071833,0.00
DesRoll,0.6466663000,0.00
DesRoll,0.6483371000,0.00
DesRoll,0.6500072167,0.00
DesRoll,0.6516744000,0.00
DesRoll,0.6533408333,0.00
DesRoll,0.6550091500,0.00
DesRoll,0.6566707833,0.00
DesRoll,0.6583493833,0.00
DesRoll,0.6600080500,0.00
DesRoll,0.6616747167,0.00
DesRoll,0.6633315000,0.00
DesRoll,0.6650046333,0.00
DesRoll,0.6666664833,0.00
DesRoll,0.6683424833,0.00
DesRoll,0.6700062500,0.00
DesRoll,0.6716833500,0.00
DesRoll,0.6733363333,0.00
DesRoll,0.6750049833,0.00
DesRoll,0.6766708500,0.00
DesRoll,0.6783464500,0.00
DesRoll,0.6800055667,0.00
DesRoll,0.6816741333,0.00
DesRoll,0.6833362000,0.00
DesRoll,0.6850058500,0.00
DesRoll,0.6866704000,0.00
DesRoll,0.6883513833,0.00
DesRoll,0.6900038833,0.00
DesRoll,0.6916812500,0.00
DesRoll,0.6933311333,0.00
DesRoll,0.6950091167,0.00
DesRoll,0.6966720000,0.00
DesRoll,0.6983551333,0.00
DesRoll,0.7000048333,0.00
DesRoll,0.7016750167,0.00
DesRoll,0.7033366333,0.00
DesRoll,0.7050150500,0.00
DesRoll,0.7066684833,0.00
DesRoll,0.7083435000,0.00
DesRoll,0.7100052500,0.00
DesRoll,0.7116726333,0.00
DesRoll,0.7133332000,0.00
DesRoll,0.7149999667,0.00
DesRoll,0.7166757667,0.00
DesRoll,0.7183397000,0.00
DesRoll,0.7200038667,0.00
DesRoll,0.7216726167,0.00
DesRoll,0.7233403667,0.00
DesRoll,0.7250036833,0.00
DesRoll,0.7266739167,0.00
DesRoll,0.7283416000,0.00
DesRoll,0.7300052333,0.00
DesRoll,0.7316704000,0.00
DesRoll,0.7333367000,0.00
DesRoll,0.7350234333,0.00
DesRoll,0.7366732167,0.00
DesRoll,0.7383443000,0.00
DesRoll,0.7400031167,0.00
DesRoll,0.7416682167,0.00
DesRoll,0.7433359167,0.00
DesRoll,0.7450029167,0.00
DesRoll,0.7466710833,0.00
DesRoll,0.7483368333,0.00
DesRoll,0.7500043000,0.00
DesRoll,0.7516757833,0.00
DesRoll,0.7533368500,0.00
DesRoll,0.7550025167,0.00
DesRoll,0.7566748667,0.00
DesRoll,0.7583486167,0.00
DesRoll,0.7600119167,0.00
DesRoll,0.7616711000,0.00
DesRoll,0.7633479000,0.00
DesRoll,0.7649984500,0.00
DesRoll,0.7666744333,0.00
DesRoll,0.7683454500,0.00
DesRoll,0.7700139500,0.00
DesRoll,0.7716768167,0.00
DesRoll,0.7733406167,0.00
DesRoll,0.7749968000,0.00
DesRoll,0.7766749500,0.00
DesRoll,0.7783443000,0.00
DesRoll,0.7800026000,0.00
DesRoll,0.7816644333,0.00
DesRoll,0.7833365000,0.00
DesRoll,0.7850039833,0.00
DesRoll,0.7866719000,0.00
DesRoll,0.7883426667,0.00
DesRoll,0.7900047667,0.00
DesRoll,0.7916694000,0.00
DesRoll,0.7933376833,0.00
DesRoll,0.7949981667,0.00
DesRoll,0.7966680500,0.00
DesRoll,0.7983466500,0.00
DesRoll,0.8000056167,0.00
DesRoll,0.8016697833,0.00
DesRoll,0.8033314167,0.00
DesRoll,0.8050043167,0.00
DesRoll,0.8066743500,0.00
DesRoll,0.8083423333,0.00
DesRoll,0.8099979667,0.00
DesRoll,0.8116732833,0.00
DesRoll,0.8133349500,0.00
DesRoll,0.8149980333,0.00
DesRoll,0.8166668167,0.00
DesRoll,0.8183447000,0.00
DesRoll,0.8200057000,0.00
DesRoll,0.8216700167,0.00
DesRoll,0.8233398333,0.00
DesRoll,0.8249977333,0.00
DesRoll,0.8266653000,0.00
DesRoll,0.8283383000,0.00
DesRoll,0.8300075000,0.00
DesRoll,0.8316749833,0.00
DesRoll,0.8333385167,0.00
DesRoll,0.8350027667,0.00
DesRoll,0.8366666333,0.00
DesRoll,0.8383444500,0.00
DesRoll,0.8400024667,0.00
DesRoll,0.8416701833,0.00
DesRoll,0.8433378000,0.00
DesRoll,0.8449979167,0.00
DesRoll,0.8466747500,0.00
DesRoll,0.8483448000,0.00
DesRoll,0.8500031167,0.00
DesRoll,0.8516720667,0.00
DesRoll,0.8533385000,0.00
DesRoll,0.8550042333,0.00
DesRoll,0.8566706500,0.00
DesRoll,0.8583504000,0.00
DesRoll,0.8600076167,0.00
DesRoll,0.8616759667,0.00
DesRoll,0.8633357667,0.00
DesRoll,0.8650092500,0.00
DesRoll,0.8666644833,0.00
DesRoll,0.8683426333,0.00
DesRoll,0.8700025667,0.00
DesRoll,0.8716804333,0.00
DesRoll,0.8733382333,0.00
DesRoll,0.8750077500,0.00
DesRoll,0.8766753167,0.00
DesRoll,0.8783468333,0.00
DesRoll,0.8800040833,0.00
DesRoll,0.8816715667,0.00
DesRoll,0.8833352667,0.00
DesRoll,0.8850063167,0.00
DesRoll,0.8866739333,0.00
DesRoll,0.8883429667,0.00
DesRoll,0.8900083500,0.00
DesRoll,0.8916756667,0.00
DesRoll,0.8933386833,0.00
DesRoll,0.8950079000,0.00
DesRoll,0.8966698833,0.00
DesRoll,0.8983442667,0.00
DesRoll,0.9000051000,0.00
DesRoll,0.9016652833,0.00
DesRoll,0.9033381167,0.00
DesRoll,0.9050068000,0.00
DesRoll,0.9066757167,0.00
DesRoll,0.9083441500,0.00
DesRoll,0.9100065167,0.00
DesRoll,0.9116941667,0.00
DesRoll,0.9133411000,0.00
DesRoll,0.9150066833,0.00
DesRoll,0.9166730833,0.00
DesRoll,0.9183431500,0.00
DesRoll,0.9199997500,0.00
DesRoll,0.9216666833,0.00
DesRoll,0.9233372167,0.00
DesRoll,0.9249979833,0.00
DesRoll,0.9266722333,0.00
DesRoll,0.9283438333,0.00
